timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684772114167,1,Home-1,200,OK,Thread Group 1-14,text,true,,1351,127,17,17,http://localhost:8080/jpetstore/,1,0,0
1684772114313,2,Home,200,OK,Thread Group 1-13,text,true,,1497,253,18,18,http://localhost:8080/jpetstore/,1,0,0
1684772114313,1,Home-0,302,Found,Thread Group 1-13,,true,,146,126,18,18,http://localhost:8080/jpetstore,1,0,0
1684772114314,1,Home-1,200,OK,Thread Group 1-13,text,true,,1351,127,18,18,http://localhost:8080/jpetstore/,1,0,0
1684772114359,3,Home,200,OK,Thread Group 1-11,text,true,,1497,253,18,18,http://localhost:8080/jpetstore/,1,0,0
1684772114359,1,Home-0,302,Found,Thread Group 1-11,,true,,146,126,18,18,http://localhost:8080/jpetstore,1,0,0
1684772114360,2,Home-1,200,OK,Thread Group 1-11,text,true,,1351,127,18,18,http://localhost:8080/jpetstore/,2,0,0
1684772114362,1,Home,200,OK,Thread Group 1-10,text,true,,1497,253,18,18,http://localhost:8080/jpetstore/,0,0,0
1684772114362,0,Home-0,302,Found,Thread Group 1-10,,true,,146,126,18,18,http://localhost:8080/jpetstore,0,0,0
1684772114362,1,Home-1,200,OK,Thread Group 1-10,text,true,,1351,127,18,18,http://localhost:8080/jpetstore/,1,0,0
1684772114669,2,Home,200,OK,Thread Group 1-15,text,true,,1497,253,19,19,http://localhost:8080/jpetstore/,2,0,1
1684772114669,2,Home-0,302,Found,Thread Group 1-15,,true,,146,126,19,19,http://localhost:8080/jpetstore,2,0,1
1684772114671,0,Home-1,200,OK,Thread Group 1-15,text,true,,1351,127,19,19,http://localhost:8080/jpetstore/,0,0,0
1684772114991,3,Sign In,200,OK,Thread Group 1-2,text,true,,3921,545,19,19,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,3,0,0
1684772115063,3,Main Catalog,200,OK,Thread Group 1-5,text,true,,5762,399,20,20,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772115563,3,Main Catalog,200,OK,Thread Group 1-7,text,true,,5762,399,21,21,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772115681,3,Home,200,OK,Thread Group 1-17,text,true,,1497,253,21,21,http://localhost:8080/jpetstore/,2,0,1
1684772115681,2,Home-0,302,Found,Thread Group 1-17,,true,,146,126,21,21,http://localhost:8080/jpetstore,2,0,1
1684772115683,1,Home-1,200,OK,Thread Group 1-17,text,true,,1351,127,21,21,http://localhost:8080/jpetstore/,1,0,0
1684772115816,2,Main Catalog,200,OK,Thread Group 1-12,text,true,,5762,399,22,22,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
